127.0.0.1 - - [10/May/2022:00:03:42 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/May/2022:00:03:45 +0700] "GET /doanhnghiep HTTP/1.1" 200 4405
0:0:0:0:0:0:0:1 - - [10/May/2022:00:03:46 +0700] "GET /doanhnghiep HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [10/May/2022:00:03:47 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [10/May/2022:00:03:50 +0700] "GET /dangnhap HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [10/May/2022:00:03:51 +0700] "GET /sinhvien/dangnhap HTTP/1.1" 200 5165
0:0:0:0:0:0:0:1 - - [10/May/2022:00:03:56 +0700] "GET /doanhnghiep/dangnhap HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [10/May/2022:00:04:07 +0700] "POST /doanhnghiep/dangnhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2022:00:04:12 +0700] "GET /sinhvien HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [10/May/2022:00:04:19 +0700] "GET /doanhnghiep/tuyendung HTTP/1.1" 200 35140
0:0:0:0:0:0:0:1 - - [10/May/2022:00:05:19 +0700] "GET /doanhnghiep/tuyendung/sua?id=7 HTTP/1.1" 200 31785
0:0:0:0:0:0:0:1 - - [10/May/2022:00:05:27 +0700] "GET /doanhnghiep/tuyendung/sua?id=7 HTTP/1.1" 200 31785
0:0:0:0:0:0:0:1 - - [10/May/2022:00:05:48 +0700] "POST /doanhnghiep/tuyendung/timkiem HTTP/1.1" 200 10199
0:0:0:0:0:0:0:1 - - [10/May/2022:00:05:54 +0700] "POST /doanhnghiep/tuyendung/timkiem HTTP/1.1" 200 4225
0:0:0:0:0:0:0:1 - - [10/May/2022:00:06:34 +0700] "POST /doanhnghiep/tuyendung/duyetsinhvien HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [10/May/2022:00:06:35 +0700] "POST /doanhnghiep/tuyendung/duyetsinhvien HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [10/May/2022:00:06:47 +0700] "POST /doanhnghiep/tuyendung/timkiem HTTP/1.1" 200 10199
0:0:0:0:0:0:0:1 - - [10/May/2022:00:07:42 +0700] "POST /doanhnghiep/tuyendung/timkiem HTTP/1.1" 200 14425
0:0:0:0:0:0:0:1 - - [10/May/2022:00:07:47 +0700] "POST /doanhnghiep/tuyendung/timkiem HTTP/1.1" 200 14425
0:0:0:0:0:0:0:1 - - [10/May/2022:00:08:04 +0700] "GET /doanhnghiep/tuyendung HTTP/1.1" 200 35104
