0:0:0:0:0:0:0:1 - - [11/May/2022:09:38:35 +0700] "GET /ckfinder/ckfinder.js HTTP/1.1" 200 533011
0:0:0:0:0:0:0:1 - - [11/May/2022:09:38:35 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 200 753458
0:0:0:0:0:0:0:1 - - [11/May/2022:09:38:35 +0700] "GET /image/brand.png HTTP/1.1" 200 7361
0:0:0:0:0:0:0:1 - - [11/May/2022:09:38:36 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:42 +0700] "GET /trangchu HTTP/1.1" 200 5418
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:42 +0700] "GET /js/main.js HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:42 +0700] "GET /css/navbar.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:42 +0700] "GET /ckfinder/ckfinder.js HTTP/1.1" 200 533011
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:42 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 200 753458
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:42 +0700] "GET /css/style.css HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:42 +0700] "GET /image/brand.png HTTP/1.1" 200 7361
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:43 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:58 +0700] "GET /trangchu HTTP/1.1" 200 5422
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:58 +0700] "GET /css/style.css HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:58 +0700] "GET /css/navbar.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [11/May/2022:09:39:58 +0700] "GET /js/main.js HTTP/1.1" 200 800
